Extreme,Year
5.11214766632433,1901
2.0571959755030633,1902
3.592080286839146,1903
2.9109559547244097,1904
3.654201591736516,1905
2.9712242219722524,1906
2.0412699832975436,1907
1.7448743907011615,1908
2.2165390784485277,1909
1.6985486600359172,1910
3.2810833678684923,1911
2.4920570024900752,1912
3.3272490157480314,1913
2.19702621306952,1914
3.583506323073252,1915
2.1932917760279964,1916
2.5875619714202402,1917
2.381643336249634,1918
2.707010790317878,1919
3.8314758195119216,1920
2.0108260736025003,1921
2.934280089988752,1922
2.3857085247156613,1923
4.012946850393701,1924
2.09961286089239,1925
3.6159127430499765,1926
3.823856392950882,1927
1.9014074133590433,1928
2.674984600139268,1929
0.8926818699549331,1930
2.558067828327016,1931
4.314193037191103,1932
3.5083952359728623,1933
3.1959046285079724,1934
4.069598425196851,1935
3.073159634526815,1936
4.3117373594810235,1937
4.50196668124819,1938
1.7816964924838938,1939
2.8426885875376695,1940
2.1714119541875436,1941
4.0461097744726375,1942
2.455130869058036,1943
2.8443253850344172,1944
3.5060708661417324,1945
2.929772360185744,1946
2.766437007874016,1947
2.3761732040439374,1948
1.9578030303030278,1949
4.100286769709331,1950
2.1319389763779526,1951
3.688200118853067,1952
3.128740788411063,1953
5.547899654904253,1954
5.282687306132205,1955
1.652050823192555,1956
1.3953913147220236,1957
2.2339099105667364,1958
2.891095557499756,1959
3.713189583940898,1960
1.6328576115485551,1961
2.5756172839506184,1962
2.4068508797511416,1963
1.4555203169048307,1964
1.1365278992903662,1965
2.6790226742490515,1966
3.4983881355108384,1967
2.4475181053757167,1968
3.871814490169862,1969
2.5171703363468465,1970
3.8472094290100514,1971
5.075958383807795,1972
3.905398874419544,1973
2.319986624268122,1974
3.4016151827175474,1975
2.741960704204429,1976
3.679101680799516,1977
2.6001616117429767,1978
3.4627742286931107,1979
2.5898111694371537,1980
2.5807007630990593,1981
2.510370491882961,1982
3.369748225916205,1983
3.68608744929611,1984
4.292438558816496,1985
2.0000492125984253,1986
3.2116779673374176,1987
2.1278202842569214,1988
3.571328554449563,1989
3.682671089724894,1990
2.53200580830174,1991
2.513105693519079,1992
2.370955733898646,1993
3.317476353191701,1994
3.028359706238642,1995
7.4762170654149225,1996
2.079589959343319,1997
3.3855308527610513,1998
5.015895990942323,1999
3.422381518347941,2000
3.1511551032536027,2001
3.0982029663744886,2002
3.921000470460063,2003
6.425629668887559,2004
6.874677594387245,2005
4.743814985867165,2006
3.6179615940864527,2007
4.977042825004016,2008
2.951022528433945,2009
6.239783324956732,2010
7.569773479402048,2011
3.3141455234762325,2012
4.069667434863308,2013
3.1836496399488543,2014
3.029653612377402,2015
3.5351475491239293,2016
3.7803546760602287,2017
4.665948428743701,2018
3.3219218002161495,2019
3.4525667747413937,2020
5.344169754515985,2021
3.410861509958315,2022
4.712565616797914,2023
3.6602280183727007,2024
